15:43:36.631251 IP6 fe80::dd2b:da38:44c8:1eab.dhcpv6-client > ff02::1:2.dhcpv6-server: dhcp6 solicit
15:43:36.633302 IP6 fe80::b809:b0c9:f756:f328.dhcpv6-client > ff02::1:2.dhcpv6-server: dhcp6 solicit
15:43:40.366492 ARP, Request who-has 192.168.48.128 (Broadcast) tell 192.168.48.131, length 46
15:43:40.367173 ARP, Reply 192.168.48.128 is-at 00:0c:29:cb:2e:54 (oui Unknown), length 46
15:43:40.567856 IP 192.168.48.131.47565 > 192.168.48.2.domain: 55483+ PTR? 128.48.168.192.in-addr.arpa. (45)
15:43:40.581379 IP 192.168.48.2.domain > 192.168.48.131.47565: 55483 NXDomain 0/1/0 (113)
15:43:40.605195 IP 192.168.48.131.58400 > 192.168.48.128.telnet: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.729429 IP 192.168.48.131.58400 > 192.168.48.128.5009: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.729710 IP 192.168.48.128.5009 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.729996 IP 192.168.48.131.58400 > 192.168.48.128.iprop: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.730238 IP 192.168.48.128.iprop > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.730507 IP 192.168.48.131.58400 > 192.168.48.128.radmin-port: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.730754 IP 192.168.48.128.radmin-port > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.730994 IP 192.168.48.131.58400 > 192.168.48.128.time: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.731235 IP 192.168.48.128.time > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.731747 IP 192.168.48.131.58400 > 192.168.48.128.49156: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.732282 IP 192.168.48.128.49156 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.732738 IP 192.168.48.131.58400 > 192.168.48.128.6646: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.733338 IP 192.168.48.131.58400 > 192.168.48.128.nrpe: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.734066 IP 192.168.48.128.6646 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.734188 IP 192.168.48.128.nrpe > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.734751 IP 192.168.48.131.58400 > 192.168.48.128.nfs: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.735159 IP 192.168.48.128.nfs > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.735684 IP 192.168.48.131.58400 > 192.168.48.128.8443: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.735970 IP 192.168.48.128.8443 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.736320 IP 192.168.48.131.58400 > 192.168.48.128.x11: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.736565 IP 192.168.48.128.x11 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.736805 IP 192.168.48.131.58400 > 192.168.48.128.1755: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.737034 IP 192.168.48.128.1755 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.737307 IP 192.168.48.131.58400 > 192.168.48.128.1110: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.737537 IP 192.168.48.128.1110 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.737876 IP 192.168.48.131.58400 > 192.168.48.128.printer: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.738129 IP 192.168.48.128.printer > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.738364 IP 192.168.48.131.58400 > 192.168.48.128.finger: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.738650 IP 192.168.48.128.finger > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.738748 IP 192.168.48.131.58400 > 192.168.48.128.5631: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.738941 IP 192.168.48.128.5631 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.739283 IP 192.168.48.131.58400 > 192.168.48.128.ftps: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.739514 IP 192.168.48.128.ftps > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.740419 IP 192.168.48.131.58400 > 192.168.48.128.klogin: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.741155 IP 192.168.48.131.58400 > 192.168.48.128.32768: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.741223 IP 192.168.48.128.klogin > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.741346 IP 192.168.48.128.32768 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.741967 IP 192.168.48.131.58400 > 192.168.48.128.bgp: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.742243 IP 192.168.48.128.bgp > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.742309 IP 192.168.48.131.58400 > 192.168.48.128.sip: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.742504 IP 192.168.48.128.sip > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.742779 IP 192.168.48.131.58400 > 192.168.48.128.1028: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.743124 IP 192.168.48.128.1028 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.745383 IP 192.168.48.131.58400 > 192.168.48.128.1026: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.745764 IP 192.168.48.128.1026 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.745854 IP 192.168.48.131.58400 > 192.168.48.128.nntp: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.746132 IP 192.168.48.128.nntp > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.746788 IP 192.168.48.131.58400 > 192.168.48.128.646: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.747071 IP 192.168.48.128.646 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.747207 IP 192.168.48.131.58400 > 192.168.48.128.login: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.747401 IP 192.168.48.128.login > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.748124 IP 192.168.48.131.58400 > 192.168.48.128.8000: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.748430 IP 192.168.48.128.8000 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.748817 IP 192.168.48.131.58400 > 192.168.48.128.49153: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.749399 IP 192.168.48.131.58400 > 192.168.48.128.webmin: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.749504 IP 192.168.48.128.49153 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.750037 IP 192.168.48.131.58400 > 192.168.48.128.26: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.750275 IP 192.168.48.128.webmin > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.750404 IP 192.168.48.128.26 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.750788 IP 192.168.48.131.58400 > 192.168.48.128.8009: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.751122 IP 192.168.48.128.8009 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.751202 IP 192.168.48.131.58400 > 192.168.48.128.49154: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.751408 IP 192.168.48.128.49154 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.751624 IP 192.168.48.131.58400 > 192.168.48.128.echo: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.751839 IP 192.168.48.128.echo > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.752048 IP 192.168.48.131.58400 > 192.168.48.128.49155: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.752317 IP 192.168.48.128.49155 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.752456 IP 192.168.48.131.58400 > 192.168.48.128.5101: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.752663 IP 192.168.48.128.5101 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.752939 IP 192.168.48.131.58400 > 192.168.48.128.3128: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.753173 IP 192.168.48.128.3128 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.753393 IP 192.168.48.131.58400 > 192.168.48.128.1027: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.753671 IP 192.168.48.128.1027 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.753844 IP 192.168.48.131.58400 > 192.168.48.128.3986: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.754053 IP 192.168.48.128.3986 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.754269 IP 192.168.48.131.58400 > 192.168.48.128.shell: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.754480 IP 192.168.48.128.shell > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.755102 IP 192.168.48.131.58400 > 192.168.48.128.8008: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.755532 IP 192.168.48.128.8008 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.756801 IP 192.168.48.131.58400 > 192.168.48.128.tproxy: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.757369 IP 192.168.48.131.58400 > 192.168.48.128.snpp: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.757833 IP 192.168.48.128.tproxy > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.758120 IP 192.168.48.128.snpp > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.758584 IP 192.168.48.131.58400 > 192.168.48.128.urd: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.758805 IP 192.168.48.128.urd > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.758991 IP 192.168.48.131.58400 > 192.168.48.128.49152: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.759241 IP 192.168.48.128.49152 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.759463 IP 192.168.48.131.58400 > 192.168.48.128.cisco-sccp: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.759720 IP 192.168.48.128.cisco-sccp > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.759906 IP 192.168.48.131.58400 > 192.168.48.128.discard: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.760128 IP 192.168.48.128.discard > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.760345 IP 192.168.48.131.58400 > 192.168.48.128.svrloc: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.760591 IP 192.168.48.128.svrloc > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.760871 IP 192.168.48.131.58400 > 192.168.48.128.3000: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.761130 IP 192.168.48.128.3000 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.761426 IP 192.168.48.131.58400 > 192.168.48.128.ipp: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.761807 IP 192.168.48.128.ipp > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.762107 IP 192.168.48.131.58400 > 192.168.48.128.aol: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.762337 IP 192.168.48.128.aol > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.762556 IP 192.168.48.131.58400 > 192.168.48.128.ms-sql-s: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.762828 IP 192.168.48.128.ms-sql-s > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.762977 IP 192.168.48.131.58400 > 192.168.48.128.5000: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.763235 IP 192.168.48.128.5000 > 192.168.48.131.58400: Flags [S.], seq 4087253029, ack 3926955329, win 64240, options [mss 1460], length 0
15:43:41.763395 IP 192.168.48.131.58400 > 192.168.48.128.kerberos: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.765278 IP 192.168.48.128.kerberos > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.765814 IP 192.168.48.131.58400 > 192.168.48.128.5000: Flags [R], seq 3926955329, win 0, length 0
15:43:41.766320 IP 192.168.48.131.58400 > 192.168.48.128.81: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.766698 IP 192.168.48.128.81 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.767897 IP 192.168.48.131.58400 > 192.168.48.128.49157: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.768347 IP 192.168.48.131.58400 > 192.168.48.128.5357: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.768438 IP 192.168.48.128.49157 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.768590 IP 192.168.48.128.5357 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.768792 IP 192.168.48.131.58400 > 192.168.48.128.144: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.769049 IP 192.168.48.128.144 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.769300 IP 192.168.48.131.58400 > 192.168.48.128.9100: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.770095 IP 192.168.48.128.9100 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.770556 IP 192.168.48.131.58400 > 192.168.48.128.1029: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.771003 IP 192.168.48.131.58400 > 192.168.48.128.daytime: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
