15:45:26.313041 ARP, Request who-has 192.168.48.128 (Broadcast) tell 192.168.48.131, length 46
15:45:26.314163 ARP, Reply 192.168.48.128 is-at 00:0c:29:cb:2e:54 (oui Unknown), length 46
15:45:26.509918 IP 192.168.48.131.41718 > 192.168.48.2.domain: 21689+ PTR? 128.48.168.192.in-addr.arpa. (45)
15:45:26.516143 IP 192.168.48.2.domain > 192.168.48.131.41718: 21689 NXDomain 0/1/0 (113)
15:45:26.530371 IP 192.168.48.131.59445 > 192.168.48.128.1025: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.626535 IP 192.168.48.128.pop3s > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.626868 IP 192.168.48.131.59445 > 192.168.48.128.http: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.627121 IP 192.168.48.128.http > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.627444 IP 192.168.48.131.59445 > 192.168.48.128.mysql: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.627695 IP 192.168.48.128.mysql > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.627832 IP 192.168.48.131.59445 > 192.168.48.128.microsoft-ds: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.628328 IP 192.168.48.131.59445 > 192.168.48.128.ftp: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.628394 IP 192.168.48.128.microsoft-ds > 192.168.48.131.59445: Flags [S.], seq 4112098075, ack 2624150108, win 64240, options [mss 1460], length 0
15:45:27.628541 IP 192.168.48.128.ftp > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.629092 IP 192.168.48.131.59445 > 192.168.48.128.microsoft-ds: Flags [R], seq 2624150108, win 0, length 0
15:45:27.629834 IP 192.168.48.131.59445 > 192.168.48.128.netbios-ssn: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.630113 IP 192.168.48.128.netbios-ssn > 192.168.48.131.59445: Flags [S.], seq 4112143848, ack 2624150108, win 64240, options [mss 1460], length 0
15:45:27.630363 IP 192.168.48.131.59445 > 192.168.48.128.netbios-ssn: Flags [R], seq 2624150108, win 0, length 0
15:45:27.630798 IP 192.168.48.131.59445 > 192.168.48.128.smux: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.631024 IP 192.168.48.128.smux > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.631331 IP 192.168.48.131.59445 > 192.168.48.128.domain: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.631574 IP 192.168.48.128.domain > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.631825 IP 192.168.48.131.59445 > 192.168.48.128.8888: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.632064 IP 192.168.48.128.8888 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.632319 IP 192.168.48.131.59445 > 192.168.48.128.rtsp: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.632554 IP 192.168.48.128.rtsp > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.632914 IP 192.168.48.131.59445 > 192.168.48.128.5900: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.633169 IP 192.168.48.128.5900 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.633400 IP 192.168.48.131.59445 > 192.168.48.128.1723: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.633626 IP 192.168.48.128.1723 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.633766 IP 192.168.48.131.59445 > 192.168.48.128.256: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.634091 IP 192.168.48.128.256 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.634706 IP 192.168.48.131.59445 > 192.168.48.128.1720: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.635201 IP 192.168.48.128.1720 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.635367 IP 192.168.48.131.59445 > 192.168.48.128.https: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.635605 IP 192.168.48.128.https > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.635927 IP 192.168.48.131.59445 > 192.168.48.128.5730: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.636171 IP 192.168.48.128.5730 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.636404 IP 192.168.48.131.59445 > 192.168.48.128.cvspserver: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.636627 IP 192.168.48.128.cvspserver > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.636969 IP 192.168.48.131.59445 > 192.168.48.128.20222: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.637297 IP 192.168.48.128.20222 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.637379 IP 192.168.48.131.59445 > 192.168.48.128.sane-port: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.637590 IP 192.168.48.128.sane-port > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.637840 IP 192.168.48.131.59445 > 192.168.48.128.x11-5: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.638068 IP 192.168.48.128.x11-5 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.638263 IP 192.168.48.131.59445 > 192.168.48.128.webmin: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.638474 IP 192.168.48.128.webmin > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.638800 IP 192.168.48.131.59445 > 192.168.48.128.1583: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.639035 IP 192.168.48.128.1583 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.639178 IP 192.168.48.131.59445 > 192.168.48.128.22939: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.639403 IP 192.168.48.128.22939 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.639650 IP 192.168.48.131.59445 > 192.168.48.128.9998: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.639917 IP 192.168.48.128.9998 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.640054 IP 192.168.48.131.59445 > 192.168.48.128.2007: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.640291 IP 192.168.48.128.2007 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.640694 IP 192.168.48.131.59445 > 192.168.48.128.1052: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.640955 IP 192.168.48.128.1052 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.641203 IP 192.168.48.131.59445 > 192.168.48.128.3371: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.641483 IP 192.168.48.128.3371 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.641725 IP 192.168.48.131.59445 > 192.168.48.128.4444: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.641968 IP 192.168.48.128.4444 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.642211 IP 192.168.48.131.59445 > 192.168.48.128.32772: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.642432 IP 192.168.48.128.32772 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.642565 IP 192.168.48.131.59445 > 192.168.48.128.2068: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.642845 IP 192.168.48.128.2068 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.643081 IP 192.168.48.131.59445 > 192.168.48.128.1287: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.643324 IP 192.168.48.128.1287 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.643551 IP 192.168.48.131.59445 > 192.168.48.128.7106: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.643788 IP 192.168.48.128.7106 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.644025 IP 192.168.48.131.59445 > 192.168.48.128.8649: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.644298 IP 192.168.48.128.8649 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.644807 IP 192.168.48.131.59445 > 192.168.48.128.8181: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.645220 IP 192.168.48.128.8181 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.645943 IP 192.168.48.131.59445 > 192.168.48.128.11967: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.646203 IP 192.168.48.128.11967 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.646447 IP 192.168.48.131.59445 > 192.168.48.128.2869: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.646700 IP 192.168.48.128.2869 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.646946 IP 192.168.48.131.59445 > 192.168.48.128.1026: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.647203 IP 192.168.48.128.1026 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.647485 IP 192.168.48.131.59445 > 192.168.48.128.2035: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.647716 IP 192.168.48.128.2035 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.647945 IP 192.168.48.131.59445 > 192.168.48.128.1700: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.648199 IP 192.168.48.128.1700 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.648353 IP 192.168.48.131.59445 > 192.168.48.128.2875: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.648556 IP 192.168.48.128.2875 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.648932 IP 192.168.48.131.59445 > 192.168.48.128.32782: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.649196 IP 192.168.48.128.32782 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.649428 IP 192.168.48.131.59445 > 192.168.48.128.2106: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.649664 IP 192.168.48.128.2106 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.649929 IP 192.168.48.131.59445 > 192.168.48.128.1935: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.650153 IP 192.168.48.128.1935 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.650468 IP 192.168.48.131.59445 > 192.168.48.128.1311: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.650710 IP 192.168.48.128.1311 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.650957 IP 192.168.48.131.59445 > 192.168.48.128.1032: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.651195 IP 192.168.48.128.1032 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.651534 IP 192.168.48.131.59445 > 192.168.48.128.1839: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.651791 IP 192.168.48.128.1839 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.651928 IP 192.168.48.131.59445 > 192.168.48.128.1091: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.652132 IP 192.168.48.128.1091 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.655013 IP 192.168.48.131.59445 > 192.168.48.128.4: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.655632 IP 192.168.48.128.4 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.655746 IP 192.168.48.131.59445 > 192.168.48.128.5961: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.656238 IP 192.168.48.128.5961 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.657155 IP 192.168.48.131.59445 > 192.168.48.128.ldap: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.657632 IP 192.168.48.131.59445 > 192.168.48.128.911: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.658052 IP 192.168.48.131.59445 > 192.168.48.128.1277: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.658157 IP 192.168.48.128.ldap > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.658222 IP 192.168.48.128.911 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.658316 IP 192.168.48.128.1277 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.658824 IP 192.168.48.131.59445 > 192.168.48.128.6839: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.659057 IP 192.168.48.128.6839 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.659512 IP 192.168.48.131.59445 > 192.168.48.128.6567: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.659763 IP 192.168.48.128.6567 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.660006 IP 192.168.48.131.59445 > 192.168.48.128.1011: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.660237 IP 192.168.48.128.1011 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.660586 IP 192.168.48.131.59445 > 192.168.48.128.1097: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.660849 IP 192.168.48.128.1097 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.661137 IP 192.168.48.131.59445 > 192.168.48.128.50001: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.661388 IP 192.168.48.128.50001 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.662037 IP 192.168.48.131.59445 > 192.168.48.128.9900: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.662317 IP 192.168.48.128.9900 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.662813 IP 192.168.48.131.59445 > 192.168.48.128.1974: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.663061 IP 192.168.48.128.1974 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.663659 IP 192.168.48.131.59445 > 192.168.48.128.5904: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.663930 IP 192.168.48.128.5904 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.665055 IP 192.168.48.131.59445 > 192.168.48.128.9917: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.665621 IP 192.168.48.128.9917 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.665913 IP 192.168.48.131.59445 > 192.168.48.128.afpovertcp: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.666155 IP 192.168.48.128.afpovertcp > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.666418 IP 192.168.48.131.59445 > 192.168.48.128.898: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.666639 IP 192.168.48.128.898 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.666966 IP 192.168.48.131.59445 > 192.168.48.128.12265: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.667221 IP 192.168.48.128.12265 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.667405 IP 192.168.48.131.59445 > 192.168.48.128.1271: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.667613 IP 192.168.48.128.1271 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.667871 IP 192.168.48.131.59445 > 192.168.48.128.27352: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.668087 IP 192.168.48.128.27352 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.668387 IP 192.168.48.131.59445 > 192.168.48.128.700: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.668610 IP 192.168.48.128.700 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.668917 IP 192.168.48.131.59445 > 192.168.48.128.1183: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.669163 IP 192.168.48.128.1183 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.669437 IP 192.168.48.131.59445 > 192.168.48.128.481: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.669679 IP 192.168.48.128.481 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.669998 IP 192.168.48.131.59445 > 192.168.48.128.1719: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.670238 IP 192.168.48.128.1719 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.670434 IP 192.168.48.131.59445 > 192.168.48.128.8001: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.670641 IP 192.168.48.128.8001 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.670923 IP 192.168.48.131.59445 > 192.168.48.128.1087: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.671162 IP 192.168.48.128.1087 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.671489 IP 192.168.48.131.59445 > 192.168.48.128.bpcd: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.671755 IP 192.168.48.128.bpcd > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.671982 IP 192.168.48.131.59445 > 192.168.48.128.7019: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.672225 IP 192.168.48.128.7019 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.672430 IP 192.168.48.131.59445 > 192.168.48.128.4001: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.672639 IP 192.168.48.128.4001 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.673013 IP 192.168.48.131.59445 > 192.168.48.128.1600: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.673280 IP 192.168.48.128.1600 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.673480 IP 192.168.48.131.59445 > 192.168.48.128.25735: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.673883 IP 192.168.48.128.25735 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.674488 IP 192.168.48.131.59445 > 192.168.48.128.1755: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.674918 IP 192.168.48.128.1755 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.675085 IP 192.168.48.131.59445 > 192.168.48.128.afs3-callback: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.675360 IP 192.168.48.128.afs3-callback > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.675508 IP 192.168.48.131.59445 > 192.168.48.128.35500: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.675735 IP 192.168.48.128.35500 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.675923 IP 192.168.48.131.59445 > 192.168.48.128.5959: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.676133 IP 192.168.48.128.5959 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.676382 IP 192.168.48.131.59445 > 192.168.48.128.34573: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.676591 IP 192.168.48.128.34573 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.676864 IP 192.168.48.131.59445 > 192.168.48.128.ftps: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.677107 IP 192.168.48.128.ftps > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.677379 IP 192.168.48.131.59445 > 192.168.48.128.3030: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.677612 IP 192.168.48.128.3030 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.677840 IP 192.168.48.131.59445 > 192.168.48.128.6881: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.678059 IP 192.168.48.128.6881 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.678259 IP 192.168.48.131.59445 > 192.168.48.128.1131: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.678496 IP 192.168.48.128.1131 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.679003 IP 192.168.48.131.59445 > 192.168.48.128.finger: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.679426 IP 192.168.48.128.finger > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
