14:42:00.070514 ARP, Request who-has 192.168.48.128 (Broadcast) tell 192.168.48.131, length 46
14:42:00.074408 ARP, Reply 192.168.48.128 is-at 00:0c:29:cb:2e:54 (oui Unknown), length 46
14:42:00.272869 IP 192.168.48.131.51378 > 192.168.48.2.domain: 60185+ PTR? 128.48.168.192.in-addr.arpa. (45)
14:42:00.277665 IP 192.168.48.2.domain > 192.168.48.131.51378: 60185 NXDomain 0/1/0 (113)
14:42:00.366479 ARP, Request who-has 192.168.48.128 tell 192.168.48.131, length 46
14:42:00.366738 ARP, Reply 192.168.48.128 is-at 00:0c:29:cb:2e:54 (oui Unknown), length 46
14:42:00.367094 IP 192.168.48.131.59705 > 192.168.48.128.1723: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.492624 IP 192.168.48.131.59705 > 192.168.48.128.2301: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.492804 IP 192.168.48.131.59705 > 192.168.48.128.2099: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.492936 IP 192.168.48.131.59705 > 192.168.48.128.9900: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.493135 IP 192.168.48.131.59705 > 192.168.48.128.1126: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.493304 IP 192.168.48.131.59705 > 192.168.48.128.1069: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.493446 IP 192.168.48.131.59705 > 192.168.48.128.2191: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.493580 IP 192.168.48.131.59705 > 192.168.48.128.8400: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.493706 IP 192.168.48.131.59705 > 192.168.48.128.6106: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.493894 IP 192.168.48.131.59705 > 192.168.48.128.32785: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.494059 IP 192.168.48.131.59705 > 192.168.48.128.15742: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.494195 IP 192.168.48.131.59705 > 192.168.48.128.4111: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.494362 IP 192.168.48.131.59705 > 192.168.48.128.32: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.494506 IP 192.168.48.131.59705 > 192.168.48.128.999: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.494634 IP 192.168.48.131.59705 > 192.168.48.128.8193: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.494817 IP 192.168.48.131.59705 > 192.168.48.128.1057: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.495002 IP 192.168.48.131.59705 > 192.168.48.128.2008: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.495146 IP 192.168.48.131.59705 > 192.168.48.128.1443: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.497784 IP 192.168.48.131.59705 > 192.168.48.128.3914: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.497973 IP 192.168.48.131.59705 > 192.168.48.128.255: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.498103 IP 192.168.48.131.59705 > 192.168.48.128.ms-sql-s: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.498227 IP 192.168.48.131.59705 > 192.168.48.128.8045: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.498352 IP 192.168.48.131.59705 > 192.168.48.128.3659: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.498512 IP 192.168.48.131.59705 > 192.168.48.128.ingreslock: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.498638 IP 192.168.48.131.59705 > 192.168.48.128.1666: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.498760 IP 192.168.48.131.59705 > 192.168.48.128.afpovertcp: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.498898 IP 192.168.48.131.59705 > 192.168.48.128.1594: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.499030 IP 192.168.48.131.59705 > 192.168.48.128.3333: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.499154 IP 192.168.48.131.59705 > 192.168.48.128.2043: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.499276 IP 192.168.48.131.59705 > 192.168.48.128.33: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.499405 IP 192.168.48.131.59705 > 192.168.48.128.chargen: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.499534 IP 192.168.48.131.59705 > 192.168.48.128.3030: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.499657 IP 192.168.48.131.59705 > 192.168.48.128.4343: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.499780 IP 192.168.48.131.59705 > 192.168.48.128.5952: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.499922 IP 192.168.48.131.59705 > 192.168.48.128.2522: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.500052 IP 192.168.48.131.59705 > 192.168.48.128.49155: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.500175 IP 192.168.48.131.59705 > 192.168.48.128.6123: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.500296 IP 192.168.48.131.59705 > 192.168.48.128.888: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.500452 IP 192.168.48.131.59705 > 192.168.48.128.1042: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.500586 IP 192.168.48.131.59705 > 192.168.48.128.259: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.500712 IP 192.168.48.131.59705 > 192.168.48.128.50800: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.500835 IP 192.168.48.131.59705 > 192.168.48.128.8200: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.500980 IP 192.168.48.131.59705 > 192.168.48.128.9100: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.501103 IP 192.168.48.131.59705 > 192.168.48.128.nameserver: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.501243 IP 192.168.48.131.59705 > 192.168.48.128.5810: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.501896 IP 192.168.48.131.59705 > 192.168.48.128.38292: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.502429 IP 192.168.48.131.59705 > 192.168.48.128.6789: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.503004 IP 192.168.48.131.59705 > 192.168.48.128.9415: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.503325 IP 192.168.48.128.microsoft-ds > 192.168.48.131.59705: Flags [S.], seq 3276657668, ack 330613840, win 64240, options [mss 1460], length 0
14:42:01.503406 IP 192.168.48.128.pop3s > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.503494 IP 192.168.48.128.3851 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.503632 IP 192.168.48.128.printer > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.503691 IP 192.168.48.128.3001 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.503771 IP 192.168.48.128.amandaidx > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.503814 IP 192.168.48.128.280 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.503905 IP 192.168.48.128.8600 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.503951 IP 192.168.48.128.65000 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.504036 IP 192.168.48.128.55600 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.504079 IP 192.168.48.128.50002 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.504162 IP 192.168.48.128.ftp-data > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.504204 IP 192.168.48.128.1076 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.504287 IP 192.168.48.128.44176 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.504330 IP 192.168.48.128.2288 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.504421 IP 192.168.48.128.49163 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.504501 IP 192.168.48.128.x11-3 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.504589 IP 192.168.48.128.1124 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.504644 IP 192.168.48.128.89 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.504727 IP 192.168.48.128.19101 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.504770 IP 192.168.48.128.1164 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.504853 IP 192.168.48.128.4001 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.504898 IP 192.168.48.128.10180 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.504984 IP 192.168.48.128.24 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.505064 IP 192.168.48.128.1059 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.505151 IP 192.168.48.128.7025 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.505205 IP 192.168.48.128.9200 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.505287 IP 192.168.48.128.4125 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.505329 IP 192.168.48.128.5850 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.505421 IP 192.168.48.128.5718 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.505464 IP 192.168.48.128.x11-2 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.505548 IP 192.168.48.128.1054 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.505591 IP 192.168.48.128.32770 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
